privid,privName
485,com.wSpacePhase.permission.C2D_MESSAGE
486,com.duducs.cocomong.hospital.permission.C2D_MESSAGE
487,knsoft.co.kr.bh.musahapkido5_gym.permission.C2D_MESSAGE
488,nl.appyourservice.campus.permission.C2D_MESSAGE
489,ru.loyaltyplant.partner.horizons.permission.MAPS_RECEIVE
490,ru.loyaltyplant.partner.horizons.permission.C2D_MESSAGE
491,com.superchargeintl.skincare.permission.C2D_MESSAGE
492,com.shopfreephone.permission.C2D_MESSAGE
493,android.permission.DOWNLOAD_WITHOUT_NOTIFICATION
494,jp.co.recruit.mtl.osharetenki.permission.C2D_MESSAGE
495,com.jacobsmedia.now965.permission.C2D_MESSAGE
496,com.ddi.seifbeautyclinic.permission.C2D_MESSAGE
497,com.wSocialNetworkRadioOldies.permission.C2D_MESSAGE
498,com.conduit.app_a3626ff2709f4af9ad4888c9477b1af7.app.permission.C2D_MESSAGE
499,com.conduit.app_a3626ff2709f4af9ad4888c9477b1af7.app.permission.RECEIVE_ADM_MESSAGE
500,com.wMarketMastery.permission.C2D_MESSAGE
501,com.malauzai.waynecounty.permission.C2D_MESSAGE
502,android.permission.READ_SYNC_STATS
503,com.app_jacobstowing.layout.permission.C2D_MESSAGE
504,com.conduit.app_2f020d8262e043ccbe6845cc1307818c.app.permission.C2D_MESSAGE
505,kr.realtvapp.realtv_v2.permission.C2D_MESSAGE
506,android.permission.SEND
507,com.app_delaflor.layout.permission.C2D_MESSAGE
508,com.app_demo959.layout.permission.C2D_MESSAGE
509,com.abundancewise.lovelypoems.permission.C2D_MESSAGE
510,com.app_anying.layout.permission.C2D_MESSAGE
511,com.wWakeUpNow.permission.C2D_MESSAGE
512,com.todoroo.astrid.READ
513,com.anydo.permission.C2D_MESSAGE
514,com.conduit.app_9f9d6d451a284f538affc19c767ec004.app.permission.C2D_MESSAGE
515,com.conduit.app_9f9d6d451a284f538affc19c767ec004.app.permission.RECEIVE_ADM_MESSAGE
516,com.tts.android.hr.enus.permission.C2D_MESSAGE
517,com.linkedin.android.permission.C2D_MESSAGE
518,com.dictionary.bn.permission.C2D_MESSAGE
519,com.htc.launcher.permission.READ_SETTINGS
520,com.motorola.launcher.permission.READ_SETTINGS
521,com.motorola.dlauncher.permission.READ_SETTINGS
522,com.fede.launcher.permission.READ_SETTINGS
523,com.lge.launcher.permission.READ_SETTINGS
524,org.adw.launcher.permission.READ_SETTINGS
525,com.motorola.launcher.permission.INSTALL_SHORTCUT
526,com.motorola.dlauncher.permission.INSTALL_SHORTCUT
527,com.lge.launcher.permission.INSTALL_SHORTCUT
528,es.ZGZnitax.sidustaxi4you.permission.MAPS_RECEIVE
529,android.permission.ACCESS_COARSE_LOCATIO
530,com.myappengine.savannahhd.permission.C2D_MESSAGE
531,pl.wykop.droid.permission.C2D_MESSAGE
532,com.lotte.lottedutyfree.permission.C2D_MESSAGE
533,android.permission.READ_SETTINGS
534,com.sec.android.provider.logsprovider.permission.READ_LOGS
535,com.sec.android.provider.logsprovider.permission.WRITE_LOGS
536,com.maf.ce.usage
537,com.symantec.permission.UNLOCK
538,com.symantec.permission.ACCESS_NORTON_SECURITY
539,com.symantec.permission.ACCESS_LICENSE_STATE
540,com.symantec.starmoblie.permission.receive_ctrl
541,com.symantec.mobilesecurity.permission.C2D_MESSAGE
542,com.wBitcoinForexRobot.permission.C2D_MESSAGE
543,android.permission.ACCESS_SUPERUSER
544,com.conduit.app_cd1616a2ecc9449fa564b6e6c15070f4.app.permission.C2D_MESSAGE
545,knsoft.co.kr.bh.ilove_kids.permission.C2D_MESSAGE
